                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.57543,                 1.0033,                0.64008,                 1.0248,                0.85241,                0.80811,                 0.8775,                0.68785,                0.84813,                0.79033,                0.85705,                 0.6647,                  0.757,                 1.3062,                0.63484,                 1.1201,             0.00061383,             0.00061383,             0.00061383
                     85,                0.57605,                 1.0188,                0.63165,                 1.0338,                0.82619,                0.84012,                0.87809,                0.70946,                0.83002,                0.82687,                0.87222,                0.68719,                0.71891,                 1.2221,                0.62641,                 1.0893,             0.00061023,             0.00061023,             0.00061023
                     86,                0.56082,                 1.0016,                 0.6202,                 1.0249,                 0.8733,                0.79248,                0.87808,                0.70311,                0.88247,                 0.7955,                 0.8682,                0.67881,                0.71499,                 1.2306,                0.64424,                 1.0816,             0.00060663,             0.00060663,             0.00060663
                     87,                 0.5825,                 1.0109,                 0.6321,                 1.0344,                 0.8191,                0.79994,                0.87023,                0.68986,                0.82759,                0.81233,                0.88019,                0.67336,                0.75423,                 1.2334,                0.68517,                 1.1339,             0.00060303,             0.00060303,             0.00060303
                     88,                0.57399,                 1.0123,                 0.6202,                 1.0304,                0.87383,                0.84072,                0.90466,                0.73042,                0.86827,                0.83501,                0.89643,                0.70142,                0.69935,                 1.2446,                0.61577,                 1.0755,             0.00059943,             0.00059943,             0.00059943
                     89,                0.57391,                  1.007,                0.61767,                 1.0315,                0.83624,                0.81094,                0.86639,                0.70147,                0.83178,                0.80649,                0.86085,                0.68146,                0.71534,                 1.2423,                0.63088,                 1.1038,             0.00059583,             0.00059583,             0.00059583
                     90,                0.57777,                 1.0111,                 0.6334,                 1.0324,                 0.8752,                0.80925,                0.87106,                0.68557,                0.87986,                0.81396,                0.87494,                  0.677,                0.72472,                 1.2406,                0.61231,                 1.1091,             0.00059223,             0.00059223,             0.00059223
                     91,                 0.5602,                0.96474,                0.61349,                 1.0182,                0.80793,                0.82375,                0.85848,                0.68749,                0.82259,                 0.8376,                0.86904,                0.67458,                0.72263,                 1.2201,                0.60856,                 1.1053,             0.00058863,             0.00058863,             0.00058863
                     92,                0.57149,                 1.0037,                0.61632,                 1.0319,                0.84757,                 0.8295,                0.86883,                0.69292,                0.85479,                0.83712,                0.88412,                0.67694,                0.74146,                  1.222,                0.63487,                 1.1141,             0.00058503,             0.00058503,             0.00058503
                     93,                0.55357,                0.97426,                0.60504,                 1.0164,                0.84207,                0.82767,                0.88284,                0.69375,                0.83967,                0.82537,                0.87746,                0.67901,                0.73175,                 1.2348,                0.62668,                 1.0986,             0.00058143,             0.00058143,             0.00058143
                     94,                0.57475,                 1.0182,                0.61872,                 1.0316,                0.83798,                0.83923,                0.87727,                0.70581,                0.84202,                 0.8429,                0.88452,                0.68216,                0.71644,                 1.2475,                0.61012,                 1.0882,             0.00057783,             0.00057783,             0.00057783
                     95,                 0.5614,                  0.975,                0.59233,                 1.0181,                0.84038,                0.85598,                0.88391,                0.72372,                0.86042,                0.83316,                0.88268,                0.69599,                0.71869,                 1.2304,                0.61098,                 1.0853,             0.00057423,             0.00057423,             0.00057423
                     96,                0.55824,                0.98984,                0.61326,                 1.0196,                0.85378,                0.83057,                0.88449,                 0.7257,                0.90299,                 0.8121,                 0.8995,                0.69452,                0.69194,                 1.2627,                 0.5943,                 1.0734,             0.00057063,             0.00057063,             0.00057063
                     97,                0.55325,                0.98373,                0.58252,                 1.0149,                0.87787,                0.83415,                0.89237,                0.71466,                0.86808,                0.86396,                0.89923,                0.69943,                0.72895,                 1.1891,                0.60026,                 1.1075,             0.00056703,             0.00056703,             0.00056703
                     98,                0.57256,                0.99966,                0.61108,                 1.0298,                0.86441,                0.85274,                0.89611,                0.72908,                0.86941,                0.85764,                0.90349,                0.70553,                0.71644,                 1.2336,                0.60955,                 1.0984,             0.00056343,             0.00056343,             0.00056343
                     99,                0.56376,                0.98889,                0.61455,                 1.0205,                0.86197,                0.84997,                0.89609,                0.71714,                0.87481,                0.84389,                0.90362,                0.69585,                0.71059,                 1.2099,                0.59265,                 1.0897,             0.00055983,             0.00055983,             0.00055983
                    100,                0.54725,                0.96695,                 0.6054,                 1.0121,                0.83463,                0.82519,                 0.8785,                0.71446,                0.84766,                0.83814,                0.88657,                0.69596,                0.69631,                 1.1971,                0.59444,                 1.0854,             0.00055624,             0.00055624,             0.00055624
                    101,                0.54404,                0.97534,                0.58734,                 1.0103,                0.85508,                0.82166,                0.87445,                 0.7078,                0.87739,                0.81817,                0.87817,                0.69105,                 0.7096,                 1.2026,                0.61529,                 1.0956,             0.00055264,             0.00055264,             0.00055264
                    102,                0.54611,                0.96805,                0.57181,                 1.0159,                0.85569,                0.83717,                0.87967,                0.71284,                0.86852,                0.84936,                0.89088,                0.69027,                0.69533,                  1.249,                0.59181,                 1.0818,             0.00054904,             0.00054904,             0.00054904
                    103,                0.55661,                0.98121,                0.58976,                  1.012,                0.85449,                0.83815,                0.88818,                0.72551,                0.85435,                0.84067,                0.88819,                0.69674,                0.71931,                 1.1958,                0.60902,                 1.1082,             0.00054544,             0.00054544,             0.00054544
                    104,                0.54307,                0.96003,                 0.5773,                 1.0162,                 0.8209,                0.84773,                0.88438,                0.71145,                 0.8256,                0.85126,                 0.8934,                0.68725,                 0.7288,                 1.2415,                0.62465,                 1.1111,             0.00054184,             0.00054184,             0.00054184
